Luhya,Luhya names are used by the Luhya people of western Kenya.
Luo,Luo names are used by the Luo people of Kenya.
Macedonian,Macedonian names are used in the country of Macedonia (FYROM) in southeastern Europe.
Malayalam,Malayalam names are used in southern India.
Maltese,Maltese names are used on the island of Malta.
Manx,Manx names are used on the Isle of Man.
Maori,"Maori names are used by the indigenous people of New Zealand, the Maori."
Mapuche,Mapuche names are used by the Mapuche people of Chile and Argentina.
Mayan,Mayan names are used by the Maya people of Mexico and Central America.
Medieval,These names were used in medieval times.
Mongolian,Mongolian names are used in the country of Mongolia in central Asia.
Monstrall,Fantasy category
Mormon,Mormon names occur in the Book of Mormon.
Mwera,Mwera names are used by the Mwera people of Tanzania.
Mythology,These names occur in mythology and religion.
Nahuatl,Nahuatl names are used by the Nahua peoples of Mexico and Central America.
Native American,These names are or were used by the various indigenous peoples who inhabited North and South America.
Navajo,Navajo names are used by the Navajo people of the southwestern United States.
Ndebele,Ndebele names are used by the Ndebele people of South Africa and Zimbabwe.
Norse Mythology,-
Norse Mythology,-
Norwegian,Norwegian names are used in the country of Norway in northern Europe.
Nuu-chah-nulth,"Nuu-chah-nulth names are used on Vancouver Island, Canada."
Occitan,Occitan names are used in southern France and parts of Spain and Italy.
Ojibwe,Ojibwe names are used by the Ojibwe people of Canada and the United States.
Ossetian,"Ossetian names are used in Ossetia, which is a region split by Russia and Georgia."
Pakistani,Pakistani names are used in the country of Pakistan in southern Asia. Compare also Indian names.
Pashto,Pashto names are used in Afghanistan and northwestern Pakistan.
Persian,"Persian names are used in the country of Iran, in southwestern Asia, which is part of the Muslim world."
Pet,"These names are most commonly given to pets: dogs, cats, etc."
Polish,Polish names are used in the country of Poland in central Europe.
Popular Culture,These names occur primarily in popular culture and entertainment. They are not commonly given to real people.
Portuguese,"Portuguese names are used in Portugal, Brazil and other Portuguese-speaking areas."
Punjabi,Punjabi names are used in the Punjab region of India and Pakistan.
Quechua,Quechua names are used by the Quechua people of South America.
Rapper,Fun category
Roman Mythology,-
Romanian,Romanian names are used in the countries of Romania and Moldova in eastern Europe.
Romanto,Fantasy category
Russian,Russian names are used in the country of Russia and in Russian-speaking communities throughout the world.
Sami,Sami names are used by the Sami people who inhabit northern Scandinavia.
Scandinavian,"Scandinavian names are used in the Scandinavia region of northern Europe. For more specific lists, see Swedish names, Danish names and Norwegian names."
Scottish,Scottish names are used in the country of Scotland as well as elsewhere in the Western World as a result of the Scottish diaspora.
Serbian,Serbian names are used in the country of Serbia in southeastern Europe.
Shawnee,Shawnee names are used by the Shawnee people of Oklahoma.
Shona,Shona names are used by the Shona people of Zimbabwe.
Sicilian,These names are a subset of Italian names used more often by speakers of Sicilian. Listed separately are Italian names.
Simitiq,Fantasy category
Sioux,Sioux names are used by the Sioux people of the central United States and Canada.
Slovak,Slovak names are used in the country of Slovakia in central Europe.
Slovene,Slovene names are used in the country of Slovenia in central Europe.
Sorbian,Sorbian names are used in Lusatia in eastern Germany.
Sotho,Sotho names are used by the Sotho people of Lesotho and South Africa.
Spanish,Spanish names are used in Spain and other Spanish-speaking countries (such as those in South America).
Swahili,Swahili names are used by Swahili speakers in eastern Africa.
Swedish,Swedish names are used in the country of Sweden in northern Europe.
Tagalog,Tagalog names are used in the Philippines.
Tahitian,Tahitian names are used in French Polynesia (part of which is the island of Tahiti).
Tajik,Tajik names are used in the country of Tajikistan in central Asia.
Tamil,Tamil names are used in southern India and Sri Lanka.
Tatar,Tatar names are used in Tatarstan in Russia.
Telugu,Telugu names are used in eastern India.
Thai,Thai names are used in the country of Thailand in southeastern Asia.
Theology,These names are used to refer to (Judeo-Christian-Islamic) deities. They are not bestowed upon real people.
Tibetan,Tibetan names are used by the Tibetan people who live in the region of Tibet in central Asia.
Transformer,Fun category
Tsang,Fantasy category
Tswana,Tswana names are used in Botswana.
Tumbuka,"Tumbuka names are used in Malawi, Zambia and Tanzania."
Tup ,Tup  names are used by the Tup  people of Brazil.
Turkish,"Turkish names are used in the country of Turkey, which is situated in western Asia and southeastern Europe. Turkey is part of the larger Muslim world."
Turkmen,Turkmen names are used in the country of Turkmenistan.
Ukrainian,Ukrainian names are used in the country of Ukraine in eastern Europe.
Urdu,Urdu names are used in Pakistan.
Urhobo,Urhobo names are used by the Urhobo people of Nigeria.
Uyghur,Uyghur names are used by the Uyghur people in western China.
Uzbek,Uzbek names are used in the country of Uzbekistan in central Asia.
Various,"These names do not ""belong"" to any one culture. They are put here because they cannot be categorized anywhere else."
Vietnamese,Vietnamese names are used in the country of Vietnam in southeastern Asia.
Welsh,Welsh names are used in the country of Wales in Britain.
Witch,Fun category
Wrestler,Fun category
Xalaxxi,Fantasy category
Xhosa,Xhosa names are used by the Xhosa people of South Africa.
Yao,"Yao names are used in Malawi, Tanzania and Mozambique."
Yoruba,Yoruba names are used by the Yoruba people of Nigeria.
Zapotec,Zapotec names are used by the Zapotec people of southern Mexico.
Zulu,Zulu names are used by the Zulu people of South Africa.
